mesh2,lon,lat,pjan,pfeb,pmar,papr,pmay,pjun,pjul,paug,psep,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
362356,123.8125,24.4583335,166.48181818181817,164.5818181818182,146.6,171.07272727272726,184.27272727272728,202.0818181818182,137.9181818181818,265.59090909090907,274.7181818181818,204.24545454545455,223.55454545454546,144.8090909090909,18.272727272727273,18.854545454545452,19.98181818181818,22.563636363636363,25.10909090909091,27.318181818181817,28.818181818181817,28.290909090909093,27.154545454545456,25.027272727272727,22.71818181818182,19.527272727272727
362420,124.06250000000001,24.208333500000006,122.84545454545454,138.11818181818182,117.11818181818182,139.29090909090908,179.22727272727272,203.77272727272728,88.82727272727273,246.16363636363636,293.8363636363636,180.5909090909091,177.8181818181818,119.97272727272727,18.381818181818183,19.027272727272727,20.672727272727272,23.18181818181818,25.80909090909091,28.063636363636363,29.581818181818182,29.136363636363637,27.763636363636362,25.900000000000002,22.9,19.8
362430,124.06250000000001,24.291666499999994,121.35555555555555,136,120.44444444444444,146.2888888888889,186.53333333333333,200.62222222222223,101.74444444444444,251.5222222222222,253.32222222222222,188.94444444444446,168.15555555555557,113.25555555555556,18.22222222222222,18.81111111111111,20.511111111111113,23.066666666666666,25.233333333333334,27.51111111111111,29.022222222222222,28.5,27.288888888888888,25.177777777777777,22.81111111111111,19.644444444444446
362431,124.1875,24.291666499999994,123.875,133.95,128.5,154.225,199.65,198.8,119.375,250.55,247.225,196.525,158.775,120.775,18.55,19.025,20.7,23.2,25.225,27.5,29.025,28.75,27.4,25.35,23.125,19.975
362440,124.0625,24.375,127.34166666666667,136.89166666666668,128.875,154.725,195.14166666666665,206.40833333333333,114.5,262.3333333333333,256.2583333333333,200.8,161.975,117.64166666666667,18.15,18.741666666666667,20.425,23.016666666666666,25.09166666666667,27.4,28.90833333333333,28.366666666666667,27.191666666666666,25.025,22.75,19.55
362441,124.1875,24.375,141.0467391304348,145.25978260869564,142.17608695652174,166.83913043478262,210.52717391304347,214.8,134.5391304347826,254.44347826086957,266.4260869565217,199.48804347826086,161.10434782608695,131.18152173913043,18.22608695652174,18.725,20.379347826086956,22.878260869565217,24.980434782608697,27.25978260869565,28.784782608695654,28.30108695652174,27.12608695652174,25.093478260869567,22.83478260869565,19.703260869565216
362442,124.31249999999999,24.375,135.91666666666666,138.76666666666665,138.96666666666667,165.26666666666665,206.5,199.53333333333333,127.11666666666666,251.5,256.55,197.46666666666667,161.93333333333334,137.55,18.45,18.916666666666664,20.55,22.983333333333334,25.05,27.3,28.849999999999998,28.349999999999998,27.25,25.25,23.05,19.95
362450,124.06250000000001,24.4583335,143.39166666666668,140.3625,145.75,170.40416666666667,209.3375,223.625,150.39166666666668,258.1875,271.9458333333333,228.82083333333333,181.2875,153.1875,17.925,18.4875,20.104166666666668,22.683333333333334,24.875,27.183333333333334,28.7125,28.15,27.0875,24.916666666666668,22.525,19.345833333333335
362451,124.1875,24.4583335,163.01176470588234,154.54117647058823,159.58676470588236,182.41323529411764,224.2955882352941,214.40588235294118,154.76617647058822,253.97941176470587,289.83382352941175,201.88088235294117,189.54852941176472,149.48088235294117,17.66176470588235,18.136764705882353,19.777941176470588,22.31764705882353,24.495588235294118,26.779411764705884,28.275,27.75735294117647,26.676470588235293,24.601470588235294,22.269117647058824,19.16029411764706
362452,124.3125,24.4583335,150.19333333333333,144.25333333333333,151.35333333333332,179.26,214.45333333333332,204.95333333333335,134.38,242.6,264.92,193.24666666666667,183.8,144.16666666666666,18.166666666666668,18.606666666666666,20.22,22.686666666666667,24.926666666666666,27.213333333333335,28.68,28.186666666666667,27.166666666666668,25.14,22.759999999999998,19.686666666666667
362461,124.1875,24.5416665,145.85000000000002,143.2,146.7,177.35,207.25,200.9,121.5,235.95,263.9,191.85,181.35,141.2,18.3,18.7,20.35,22.75,25,27.3,28.75,28.3,27.3,25.25,22.9,19.85
362462,124.3125,24.5416665,142.68571428571428,139.56857142857143,148.38857142857142,179.36285714285714,208.18571428571428,209.38,124.52285714285715,220.54,255.57142857142858,184.00571428571428,186.51142857142858,142.42,18.122857142857143,18.525714285714287,20.14857142857143,22.562857142857144,24.925714285714285,27.208571428571428,28.67142857142857,28.274285714285714,27.225714285714286,25.248571428571427,22.737142857142857,19.69142857142857
362472,124.31249999999999,24.625,137.63333333333333,135.78,144.88,175.93333333333334,201.75333333333333,204.6,122.17333333333333,213.7,258.5466666666667,180.08666666666667,195.18,138.74666666666667,18.35333333333333,18.74,20.35333333333333,22.72,24.98,27.266666666666666,28.78,28.453333333333333,27.333333333333332,25.4,22.96,19.94
